"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,30.41278776,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,17.16180671,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,51.34385016,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,33.08310279,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,12.52457676,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,13.73297607,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BRA","Brazil",2022,37.32564904,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,52.59363357,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,53.06547437,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,45.88668142,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,57.88960615,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,35.48775678,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,19.86352877,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,14.98739693,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,46.94821271,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,6.695013058,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SWZ","Eswatini",2016,29.67852873,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2021,25.16138511,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,28.48049322,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GMB","Gambia, The",2018,30.6510321,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GHA","Ghana",2021,23.11143371,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GTM","Guatemala",2018,32.45962903,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GIN","Guinea",2018,52.77075132,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GNB","Guinea-Bissau",2018,53.83141518,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","HTI","Haiti",2017,35.48818951,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","IDN","Indonesia",2019,12.46965411,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2019,50.18009746,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KIR","Kiribati",2020,12.91946309,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LSO","Lesotho",2017,16.65117544,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LBR","Liberia",2016,39.90119828,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MWI","Malawi",2019,54.32440622,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MDV","Maldives",2009,36.30892124,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MLI","Mali",2018,37.17339212,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MRT","Mauritania",2021,18.07449717,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MUS","Mauritius",2011,10.09174312,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MEX","Mexico",2020,26.37252064,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MNG","Mongolia",2020,36,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MAR","Morocco",2014,10.20576132,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MMR","Myanmar",2014,26.83110035,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NAM","Namibia",2015,29.50954084,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NPL","Nepal",2022,47.396772,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NER","Niger",2018,54.26598344,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PAK","Pakistan",2020,27.7650067,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","RWA","Rwanda",2021,16.61411406,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SEN","Senegal",2018,38.89758779,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SLE","Sierra Leone",2018,37.48708878,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SOM","Somalia",2022,8.328405675,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZAF","South Africa",2016,17.55056714,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LKA","Sri Lanka",2021,12.88877109,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SUR","Suriname",2012,30,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TJK","Tajikistan",2016,4.270377789,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TZA","Tanzania",2020,38.32072759,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TGO","Togo",2018,34.4605249,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","UGA","Uganda",2016,73.07416158,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","URY","Uruguay",2011,27.66295707,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","VUT","Vanuatu",2009,41.46341463,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","VNM","Viet Nam",2019,18.8400194,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PSE","West Bank and Gaza",2009,12.470503,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZMB","Zambia",2020,29.7579939,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_1529","Employment to population ratio (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZWE","Zimbabwe",2017,40.15538924,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_3044","Employment to population ratio (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","AFG","Afghanistan",2016,43.76095077,"Percent"
"Employment and Time Use","empl","Persons (15+ years) employed (% of population group with relevant disability category)","empl_al_alot_dfcl_3044","Employment to population ratio (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BGD","Bangladesh",2016,45.2737879,"Percent"
