mp_name,state,party,constituency,chamber,year
180006,Andhra Pradesh,Bharatiya Janata Party,Narsapuram,Lok Sabha,2024
180007,Andhra Pradesh,Telugu Desam Party,Nandyal,Lok Sabha,2024
180009,Andhra Pradesh,Telugu Desam Party,Guntur,Lok Sabha,2024
180012,Andhra Pradesh,Telugu Desam Party,Amalapuram,Lok Sabha,2024
180015,Andhra Pradesh,Telugu Desam Party,Bapatla,Lok Sabha,2024
180016,Andhra Pradesh,Telugu Desam Party,Narsaraopet,Lok Sabha,2024
180017,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Thirupati,Lok Sabha,2024
180022,Andhra Pradesh,Telugu Desam Party,Eluru,Lok Sabha,2024
180023,Andhra Pradesh,Telugu Desam Party,Srikakulam,Lok Sabha,2024
180027,Arunachal Pradesh,Bharatiya Janata Party,Arunachal West,Lok Sabha,2024
180029,Assam,Bharatiya Janata Party,Diphu,Lok Sabha,2024
180042,Assam,Bharatiya Janata Party,Dibrugarh,Lok Sabha,2024
180045,Bihar,Janata Dal (United),Gopalganj,Lok Sabha,2024
180046,Bihar,Lok Janshakti Party (Ram Vilas),Jamui,Lok Sabha,2024
180048,Bihar,Lok Janshakti Party (Ram Vilas),Hajipur,Lok Sabha,2024
180053,Bihar,Bharatiya Janata Party,Begusarai,Lok Sabha,2024
180055,Bihar,Bharatiya Janata Party,Maharajganj,Lok Sabha,2024
180056,Bihar,Hindustani Awam Morcha (Secular),Gaya,Lok Sabha,2024
180062,Bihar,Bharatiya Janata Party,Ujiarpur,Lok Sabha,2024
180065,Bihar,Bharatiya Janata Party,Muzaffarpur,Lok Sabha,2024
180069,Bihar,Bharatiya Janata Party,Saran,Lok Sabha,2024
180070,Bihar,Janata Dal (United),Munger,Lok Sabha,2024
180074,Bihar,Lok Janshakti Party (Ram Vilas),Samastipur,Lok Sabha,2024
180093,Chhattisgarh,Bharatiya Janata Party,Bilaspur,Lok Sabha,2024
180104,Goa,Indian National Congress,South Goa,Lok Sabha,2024
180105,Goa,Bharatiya Janata Party,North Goa,Lok Sabha,2024
180106,Gujarat,Bharatiya Janata Party,Gandhinagar,Lok Sabha,2024
180108,Gujarat,Bharatiya Janata Party,Navsari,Lok Sabha,2024
180122,Gujarat,Bharatiya Janata Party,Porbandar,Lok Sabha,2024
180249,Maharashtra,Bharatiya Janata Party,Akola,Lok Sabha,2024
180126,Gujarat,Bharatiya Janata Party,Bhavnagar,Lok Sabha,2024
180128,Gujarat,Bharatiya Janata Party,Rajkot,Lok Sabha,2024
180134,Haryana,Bharatiya Janata Party,Gurgaon,Lok Sabha,2024
180136,Haryana,Bharatiya Janata Party,Faridabad,Lok Sabha,2024
180137,Haryana,Bharatiya Janata Party,Karnal,Lok Sabha,2024
180148,Jammu and Kashmir,Bharatiya Janata Party,Udhampur,Lok Sabha,2024
180151,Jharkhand,Bharatiya Janata Party,Kodarma,Lok Sabha,2024
180152,Jharkhand,Bharatiya Janata Party,Jamshedpur,Lok Sabha,2024
180160,Jharkhand,Bharatiya Janata Party,Godda,Lok Sabha,2024
180161,Jharkhand,Bharatiya Janata Party,Ranchi,Lok Sabha,2024
180164,Jharkhand,Bharatiya Janata Party,Palamau,Lok Sabha,2024
180172,Karnataka,Janata Dal (Secular),Mandya,Lok Sabha,2024
180174,Karnataka,Bharatiya Janata Party,Chikkballapur,Lok Sabha,2024
180181,Karnataka,Bharatiya Janata Party,Dharwad,Lok Sabha,2024
180186,Karnataka,Bharatiya Janata Party,Bangalore North,Lok Sabha,2024
180190,Karnataka,Bharatiya Janata Party,Tumkur,Lok Sabha,2024
180195,Kerala,Indian National Congress,Chalakudy,Lok Sabha,2024
180196,Kerala,Indian National Congress,Idukki,Lok Sabha,2024
180197,Kerala,Indian Union Muslim League,Malappuram,Lok Sabha,2024
180198,Kerala,Indian National Congress,Ernakulam,Lok Sabha,2024
180205,Kerala,Revolutionary Socialist Party,Kollam,Lok Sabha,2024
180208,Kerala,Indian National Congress,Vadakara,Lok Sabha,2024
180209,Kerala,Indian National Congress,Thiruvananthapuram,Lok Sabha,2024
180210,Kerala,Bharatiya Janata Party,Thrissur,Lok Sabha,2024
180212,Kerala,Indian National Congress,Palakkad,Lok Sabha,2024
180220,Madhya Pradesh,Bharatiya Janata Party,Balaghat,Lok Sabha,2024
180222,Madhya Pradesh,Bharatiya Janata Party,Hoshangabad,Lok Sabha,2024
180224,Madhya Pradesh,Bharatiya Janata Party,Betul,Lok Sabha,2024
180227,Madhya Pradesh,Bharatiya Janata Party,Satna,Lok Sabha,2024
180231,Madhya Pradesh,Bharatiya Janata Party,Guna,Lok Sabha,2024
180237,Madhya Pradesh,Bharatiya Janata Party,Dhar,Lok Sabha,2024
180240,Madhya Pradesh,Bharatiya Janata Party,Vidisha,Lok Sabha,2024
180242,Madhya Pradesh,Bharatiya Janata Party,Tikamgarh,Lok Sabha,2024
180245,Maharashtra,Indian National Congress,Nandurbar,Lok Sabha,2024
180250,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Mumbai South,Lok Sabha,2024
180251,Maharashtra,Indian National Congress,Dhule,Lok Sabha,2024
180253,Maharashtra,Indian National Congress,Amravati,Lok Sabha,2024
180262,Maharashtra,Indian National Congress,Bhandara-Gondiya,Lok Sabha,2024
180264,Maharashtra,Bharatiya Janata Party,Palghar,Lok Sabha,2024
180265,Maharashtra,Shiv Sena,Buldhana,Lok Sabha,2024
180268,Maharashtra,Bharatiya Janata Party,Pune,Lok Sabha,2024
