table_name,state_code,district_code,area_name,area_type,Type of Household,No. of Households having disabled persons,Total disabled persons,Total disabled males,Total disabled females,Persons_in seeing,Males_in seeing,Females_in seeing,Persons_in hearing,Males_in hearing,Females_in hearing,Persons_in speech,Males_in speech,Females_in speech,Persons_in movement,Males_in movement,Females_in movement,Persons_mental retardation,Males_mental retardation,Females_mental retardation,Persons_mental illness,Males_mental illness,Females_mental illness,Persons_any other,Males_any other,Females_any other,Persons_multiple disability,Males_multiple disability,Females_multiple disability
C0130,0,0,INDIA,Total,Total,20780194,26814994,14988593,11826401,5033431,2639028,2394403,5072914,2678584,2394330,1998692,1122987,875705,5436826,3370501,2066325,1505964,870898,635066,722880,415758,307122,4927589,2728125,2199464,2116698,1162712,953986
C0130,0,0,INDIA,Total,Normal Household,20643273,26441354,14755701,11685653,4968521,2598100,2370421,4975110,2614658,2360452,1981137,1112114,869023,5393486,3342566,2050920,1473557,852119,621438,696692,401291,295401,4867998,2691015,2176983,2084853,1143838,941015
C0130,0,0,INDIA,Total,Institutional Household,86684,305218,188681,116537,51593,32520,19073,83044,54844,28200,13131,8015,5116,31306,19214,12092,28169,16102,12067,22249,11994,10255,48166,29875,18291,27560,16117,11443
C0130,0,0,INDIA,Total,Houseless Household,50237,68422,44211,24211,13317,8408,4909,14760,9082,5678,4424,2858,1566,12034,8721,3313,4238,2677,1561,3939,2473,1466,11425,7235,4190,4285,2757,1528
C0130,0,0,INDIA,Rural,Total,14688456,18636358,10410559,8225799,3503558,1821448,1682110,3393728,1784426,1609302,1303940,734998,568942,4035741,2503529,1532212,1025900,591598,434302,495880,283458,212422,3293107,1827881,1465226,1584504,863221,721283
C0130,0,0,INDIA,Rural,Normal Household,14624131,18477266,10316977,8160289,3476939,1806061,1670878,3352965,1759915,1593050,1296612,730645,565967,4015726,2491232,1524494,1011340,583089,428251,485805,278125,207680,3265721,1811527,1454194,1572158,856383,715775
C0130,0,0,INDIA,Rural,Institutional Household,45126,134179,79243,54936,21778,12767,9011,35675,21702,13973,5796,3449,2347,15887,9659,6228,12998,7597,5401,8517,4449,4068,23096,13872,9224,10432,5748,4684
C0130,0,0,INDIA,Rural,Houseless Household,19199,24913,14339,10574,4841,2620,2221,5088,2809,2279,1532,904,628,4128,2638,1490,1562,912,650,1558,884,674,4290,2482,1808,1914,1090,824
C0130,0,0,INDIA,Urban,Total,6091738,8178636,4578034,3600602,1529873,817580,712293,1679186,894158,785028,694752,387989,306763,1401085,866972,534113,480064,279300,200764,227000,132300,94700,1634482,900244,734238,532194,299491,232703
C0130,0,0,INDIA,Urban,Normal Household,6019142,7964088,4438724,3525364,1491582,792039,699543,1622145,854743,767402,684525,381469,303056,1377760,851334,526426,462217,269030,193187,210887,123166,87721,1602277,879488,722789,512695,287455,225240
C0130,0,0,INDIA,Urban,Institutional Household,41558,171039,109438,61601,29815,19753,10062,47369,33142,14227,7335,4566,2769,15419,9555,5864,15171,8505,6666,13732,7545,6187,25070,16003,9067,17128,10369,6759
C0130,0,0,INDIA,Urban,Houseless Household,31038,43509,29872,13637,8476,5788,2688,9672,6273,3399,2892,1954,938,7906,6083,1823,2676,1765,911,2381,1589,792,7135,4753,2382,2371,1667,704
