states,males,females,transgender,total,ratio of female to male,total electors,percentage of pwd electors,Total number of PwD electors who voted through postal ballot,Percentage of PwD electors who voted from home
Andaman and Nicobar Islands,1422,1000,0,2422,0.7032348805,315148,0.77%,201,8.30%
Andhra Pradesh,303008,216333,24,519365,0.7139514468,41333702,1.26%,12718,2.45%
Arunachal Pradesh,2849,2747,0,5596,0.9641979642,892694,0.63%,75,1.34%
Assam,98521,95507,13,194041,0.9694075375,24506236,0.79%,9788,5.04%
Bihar,452656,294976,39,747671,0.6516560037,77089931,0.97%,1915,0.26%
Chandigarh,2383,1433,0,3816,0.6013428452,659805,0.58%,74,1.94%
Chhattisgarh,111126,82355,9,193490,0.7410956932,20658430,0.94%,1453,0.75%
DNHDD,1229,790,0,2019,0.6427990236,417213,0.48%,121,5.99%
Delhi,47561,29912,7,77480,0.6289186518,15201936,0.51%,783,1.01%
Goa,5625,3797,1,9423,0.6750222222,1179344,0.80%,1968,20.89%
Gujarat,217371,158292,10,375673,0.7282112149,47982446,0.78%,4003,1.07%
Haryana,94177,56094,6,150277,0.5956231352,20076768,0.75%,3080,2.05%
Himachal Pradesh,37243,20532,0,57775,0.5512982305,5645579,1.02%,10634,18.41%
Jammu and Kashmir,49241,31671,4,80916,0.6431835259,8726281,0.93%,2950,3.65%
Jharkhand,200966,165235,3,366204,0.8222037559,25833046,1.42%,1651,0.45%
Karnataka,358847,261108,53,620008,0.7276304386,54725675,1.13%,22209,3.58%
Kerala,147241,116987,4,264232,0.7945273395,27749158,0.95%,45096,17.07%
Ladakh,588,539,0,1127,0.9166666667,184808,0.61%,114,10.12%
Lakshadweep,432,308,0,740,0.712962963,57784,1.28%,218,29.46%
Madhya Pradesh,335560,244394,10,579964,0.7283168435,56595333,1.02%,12816,2.21%
Maharashtra,367147,239321,37,606505,0.6518397263,92943890,0.65%,9146,1.51%
Manipur,8137,6189,3,14329,0.7605997296,1544652,0.93%,1694,11.82%
Meghalaya,6398,5322,0,11720,0.8318224445,2226567,0.53%,2234,19.06%
Mizoram,1876,1521,0,3397,0.8107675906,856364,0.40%,268,7.89%
Nagaland,3760,2947,0,6707,0.7837765957,1317536,0.51%,185,2.76%
Odisha,298032,225713,49,523794,0.7573448489,33666719,1.56%,4468,0.85%
Puducherry,7078,6062,1,13141,0.8564566262,1023699,1.28%,1294,9.85%
Punjab,96389,62323,6,158718,0.646577929,21461741,0.74%,4203,2.65%
Rajasthan,379205,194866,8,574079,0.513880355,53367103,1.08%,17108,2.98%
Sikkim,2399,1801,0,4200,0.7507294706,464140,0.90%,618,14.71%
Tamil Nadu,266945,194776,50,461771,0.7296484295,62798065,0.74%,41639,9.02%
Telangana,299553,227914,19,527486,0.7608469954,33216348,1.59%,10557,2.00%
Tripura,11771,7454,0,19225,0.6332512106,1463526,1.31%,2686,13.97%
Uttar Pradesh,810449,453133,68,1263650,0.5591135284,153569962,0.82%,12140,0.96%
Uttarakhand,50018,30314,3,80335,0.6060618177,8337914,0.96%,2820,3.51%
West Bengal,298850,208534,16,507400,0.6977881881,76010006,0.67%,36047,7.10%
,,,,9028696,,,,,
