session,House,Ministry,theme,question_text,mp_names,date,question_link,Link.1,Unnamed: 9,mp_name_raw,mp_name_clean,mp_name,state,constituency,party,region
Budget Session,Lok Sabha,MoSJE,"Education, Employment",Educational and Employment based incentives for Divyangjan,"Magunta Sreenivasulu Reddy, Putta Mahesh Kumar",2025-03-11,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU1887_kIfQKV.pdf?source=pqals,,Magunta Sreenivasulu Reddy,Magunta Sreenivasulu Reddy,Magunta Sreenivasulu Reddy,Andhra Pradesh,Ongole,Telugu Desam Party,South
Budget Session,Lok Sabha,MoSJE,"Education, Employment",Educational and Employment based incentives for Divyangjan,"Magunta Sreenivasulu Reddy, Putta Mahesh Kumar",2025-03-11,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU1887_kIfQKV.pdf?source=pqals,,Putta Mahesh Kumar,Putta Mahesh Kumar,Putta Mahesh Kumar,Andhra Pradesh,Eluru,Telugu Desam Party,South
Budget Session,Lok Sabha,MoSJE,Pension,Increase in Disability Pension, Amra Ram,2025-03-25,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU4028_ottdz4.pdf?source=pqals,,Amra Ram,Amra Ram,Amra Ram,Rajasthan,Sikar,Communist Party of India (Marxist),North
Budget Session,Lok Sabha,MoSJE,Education,National Accessible Library Initiative, Naveen Jindal,2025-03-25,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU3959_RGfqZc.pdf?source=pqals,,Naveen Jindal,Naveen Jindal,Naveen Jindal,Haryana,Kurukshetra,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Infra, Digital & Service Accessibility",Sugamya Bharat Abhiyan, Arun Kumar Sagar,2025-04-01,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU4892_SQ0vKp.pdf?source=pqals,,Arun Kumar Sagar,Arun Kumar Sagar,Arun Kumar Sagar,Uttar Pradesh,Shahjahanpur,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Infra, Digital & Service Accessibility",Accessible India Campaign, Asaduddin Owaisi,2025-04-01,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU4838_2ZXeOf.pdf?source=pqals,,Asaduddin Owaisi,Asaduddin Owaisi,Asaduddin Owaisi,Telangana,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,South
Budget Session,Lok Sabha,MoSJE,"Rehabilitation, Health",Deendayal Disabled Rehabilitation Scheme,Anto Antony,2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU435_n1Imo9.pdf?source=pqals,,Anto Antony,Anto Antony,Anto Antony,Kerala,Pathanamthitta,Indian National Congress,South
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Nishikant Dubey,Nishikant Dubey,Nishikant Dubey,Jharkhand,Godda,Bharatiya Janata Party,East
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Kriti Devi Debbarman,Kriti Devi Debbarman,Kriti Devi Debbarman,Tripura,Tripura East,Bharatiya Janata Party,Northeast
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Vijay Baghel,Vijay Baghel,Vijay Baghel,Chhattisgarh,Durg,Bharatiya Janata Party,Central
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Praveen Patel,Praveen Patel,Praveen Patel,Uttar Pradesh,Phulpur,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Kali Charan Singh,Kali Charan Singh,Kali Charan Singh,Jharkhand,Chatra,Bharatiya Janata Party,East
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Kangna Ranaut,Kangna Ranaut,Kangna Ranaut,Himachal Pradesh,Mandi,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Damodar Agrawal,Damodar Agrawal,Damodar Agrawal,Rajasthan,Bhilwara,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,P P Chaudhary,P P Chaudhary,P P Chaudhary,Rajasthan,Pali,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Suresh Kumar Kashyap,Suresh Kumar Kashyap,Suresh Kumar Kashyap,Himachal Pradesh,Shimla,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Anurag Singh Thakur,Anurag Singh Thakur,Anurag Singh Thakur,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,North
