company,total_employees,disabled_employees,disabled_percent,year,xml_url
RAJESH EXPORTS LIMITED,76,4,5.263157894736842,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1587673_19122025050218_WEB.xml
BF UTILITIES LIMITED,7,0,0.0,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1580445_27112025035801_WEB.xml
Network People Services Technologies Limited,324,1,0.30864197530864196,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1579180_24112025024100_WEB.xml
KIOCL Limited,249,7,2.8112449799196786,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1561070_30102025125314_WEB.xml
Sirca Paints India Limited,483,0,0.0,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1556251_24102025034723_WEB.xml
Indraprastha Gas Limited,720,4,0.5555555555555556,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1556193_24102025025946_WEB.xml
HMT LIMITED,29,0,0.0,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1550931_16102025074159_WEB.xml
THE NEW INDIA ASSURANCE COMPANY LIMITED,10951,321,2.9312391562414395,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1550623_16102025055155_WEB.xml
Accelya Solutions India Limited,1351,4,0.2960769800148038,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1546696_13102025071620_WEB.xml
THE ANDHRA SUGARS LIMITED,651,3,0.4608294930875576,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1545952_13102025025038_WEB.xml
IFCI Limited,139,1,0.7194244604316548,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1541597_06102025073815_WEB.xml
Mahanagar Telephone Nigam Limited,3031,26,0.8578027053777632,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1537605_30092025110217_WEB.xml
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,667,16,2.39880059970015,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1534100_26092025045822_WEB.xml
Rashtriya Chemicals and Fertilizers Limited,1285,20,1.556420233463035,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1531510_24092025044053_WEB.xml
Race Eco Chain Limited,61,0,0.0,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1530206_22092025031135_WEB.xml
KOTAK MAHINDRA BANK LIMITED,75323,27,0.03584562484234563,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1529464_19092025051900_WEB.xml
Cyient Limited,12022,74,0.6155381800033272,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1527196_15092025030230_WEB.xml
TAJ GVK HOTELS & RESORTS LIMITED,1074,4,0.37243947858473,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525552_10092025105528_WEB.xml
YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,5017,11,0.21925453458241975,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525496_09092025081730_WEB.xml
KELLTON TECH SOLUTIONS LIMITED,1463,1,0.0683526999316473,2025,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525255_09092025042441_WEB.xml
