"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"RAJESH EXPORTS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/RAJESHEXPO_19122025165539_RelBRSRreport2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1587673_19122025050218_WEB.xml","19-Dec-2025","-"
"BF UTILITIES LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/BFUTILITIE_27112025155734_BRSR_BFUL_27112025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1580445_27112025035801_WEB.xml","27-Nov-2025","-"
"Network People Services Technologies Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/NPST_24112025144047_BRSR_2024-25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1579180_24112025024100_WEB.xml","24-Nov-2025","-"
"KIOCL Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/KIOCL_30102025125301_9cecda78-6e61-46f3-a498-cb7a654e1d92.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1561070_30102025125314_WEB.xml","30-Oct-2025","-"
"Sirca Paints India Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/SIRCA_24102025151543_XBRL_Sirca_24-25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1556251_24102025034723_WEB.xml","24-Oct-2025","-"
"Indraprastha Gas Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/IGL1_24102025145919_BRSRReportFY202425.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1556193_24102025025946_WEB.xml","24-Oct-2025","-"
"HMT LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/HMT_16102025193625_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1550931_16102025074159_WEB.xml","16-Oct-2025","-"
"THE NEW INDIA ASSURANCE COMPANY LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/NIACL_16102025175143_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1550623_16102025055155_WEB.xml","16-Oct-2025","-"
"Accelya Solutions India Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/ACCELYA_13102025191608_Annual_Report_2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1546696_13102025071620_WEB.xml","13-Oct-2025","-"
"THE ANDHRA SUGARS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/ANDHRSUGAR_13102025145017_BRSR_Report_2024-2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1545952_13102025025038_WEB.xml","13-Oct-2025","-"
"IFCI Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/IFCI_06102025193729_STX_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1541597_06102025073815_WEB.xml","06-Oct-2025","-"
"Mahanagar Telephone Nigam Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/MTNL_30092025110029_SD_BRSR_FY_2024_25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1537605_30092025110217_WEB.xml","30-Sep-2025","-"
"FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/FACT_26092025165802_BRSR---2024-25_2523.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1534100_26092025045822_WEB.xml","26-Sep-2025","-"
"Rashtriya Chemicals and Fertilizers Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/RCF_24092025164041_Business_Responsibility__Sustainability_Report_2024-25_final.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1531510_24092025044053_WEB.xml","24-Sep-2025","-"
"Race Eco Chain Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/RACEECOCHAIN_22092025150611_RACE_ECO_CHAIN-_BRSR_FY_24-25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1530206_22092025031135_WEB.xml","22-Sep-2025","-"
"KOTAK MAHINDRA BANK LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/Kotakmahindrabank_19092025171829_BRSR_FY25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1529464_19092025051900_WEB.xml","19-Sep-2025","-"
"Cyient Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/CYIENT_15092025150058_Annexure_1_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1527196_15092025030230_WEB.xml","15-Sep-2025","-"
"TAJ GVK HOTELS & RESORTS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/TAJGVK_10092025104924_BRSR2425intimationfinal.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525552_10092025105528_WEB.xml","10-Sep-2025","-"
"YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/YATHARTH_09092025201653_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525496_09092025081730_WEB.xml","09-Sep-2025","-"
"KELLTON TECH SOLUTIONS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/KELLTONTEC_09092025162353_KTSL_BRSR_2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525255_09092025042441_WEB.xml","09-Sep-2025","-"
"Nagarjuna Fertilizers and Chemicals Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/NAGAFERT_09092025135040_Disclosure.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525158_09092025015055_WEB.xml","09-Sep-2025","-"
"Jindal Poly Films Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/JINDALPOLY_08092025235426_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525080_08092025115435_WEB.xml","08-Sep-2025","-"
"EFC (I) Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/EFCILTD_08092025231120_Submission_of_BRSR_Report.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525075_08092025111231_WEB.xml","08-Sep-2025","-"
"LT Foods Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/532783_08092025224917_BRSRFinal.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525072_08092025104938_WEB.xml","08-Sep-2025","-"
"VALOR ESTATE LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/DBR_08092025222528_BRSR_2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525066_08092025102556_WEB.xml","08-Sep-2025","-"
"FILATEX FASHIONS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/FILATEXFASHIONS_08092025201711_BRSRintimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525028_08092025082215_WEB.xml","08-Sep-2025","-"
"CONFIDENCE PETROLEUM INDIA LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/CONFIPET_08092025195346_CPIL_BRSR-2024-25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525009_08092025075409_WEB.xml","08-Sep-2025","-"
"Tilaknagar Industries Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/gthakur_08092025194255_TI_BRSR_2024-25_Final.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525005_08092025074718_WEB.xml","08-Sep-2025","-"
"GTL INFRASTRUCTURE LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/GTLINFRA1_08092025190448_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524968_08092025070503_WEB.xml","08-Sep-2025","-"
"Azad Engineering Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/AZAD2356_08092025183639_Covering_DSC.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524945_08092025063705_WEB.xml","08-Sep-2025","-"
"PC Jeweller Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/PCJEWELLER_08092025182259_BRSRReport.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524929_08092025062313_WEB.xml","08-Sep-2025","-"
"Primo Chemicals Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/PRIMO607_08092025172728_BSE_NSE_Intimation_Regarding_BRSR_2024-25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524865_08092025052744_WEB.xml","08-Sep-2025","-"
"APEX FROZEN FOODS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/APEX_08092025164002_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524830_08092025044054_WEB.xml","08-Sep-2025","-"
"Panacea Biotec Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/PANACEABIO_08092025163657_IntimationOfBRSR202425signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524827_08092025043755_WEB.xml","08-Sep-2025","-"
"SIGNPOST INDIA LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/SIGNPOST_08092025132624_BRSR2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524725_08092025012642_WEB.xml","08-Sep-2025","-"
"Sunteck Realty Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/SUNTECK_08092025120833_SRL.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524687_08092025120854_WEB.xml","08-Sep-2025","-"
"WEBSOL ENERGY SYSTEM LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/WEBELSOLAR_08092025120518_BRSRWEBSOL2025signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524686_08092025120559_WEB.xml","08-Sep-2025","-"
"PENNAR INDUSTRIES LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/PENIND_08092025114859_BRSR2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524680_08092025114919_WEB.xml","08-Sep-2025","-"
"SEPC Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/SHRIRAMEPC_08092025111116_BRSR2024-25sd.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524665_08092025111127_WEB.xml","08-Sep-2025","-"
"Roto Pumps Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/ROTO_07092025212134_SE_Intimation_BRSR_2025_Signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524649_07092025092144_WEB.xml","07-Sep-2025","-"
"SPACENET ENTERPRISES INDIA LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/SPCENET_07092025181608_SpacenetBRSR202425.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524640_07092025061621_WEB.xml","07-Sep-2025","-"
"Jaiprakash Associates Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/JPASSOCIAT_07092025174753_Submission_of_BRSR_2024_25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524639_07092025054805_WEB.xml","07-Sep-2025","-"
"Sri Adhikari Brothers Television Network Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/SABTNL_06092025235135_BRSR_Report_Final.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524591_06092025115154_WEB.xml","06-Sep-2025","-"
"Sammaan Capital Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/IHFL_06092025232404_SCL_BRSR_FY25.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524581_06092025112417_WEB.xml","06-Sep-2025","-"
"Religare Enterprises Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/RELIGARE_06092025221550_RELIGAREBRSR20242025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524573_06092025101940_WEB.xml","06-Sep-2025","-"
"MOLD-TEK PACKAGING LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/MOLDTKPAC_06092025215301_SE_Intimation_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524560_06092025095312_WEB.xml","06-Sep-2025","-"
"SMS PHARMACEUTICALS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/SMSPHARMA_06092025213541_BRSR_2024-25_SMS_Pharma_signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524550_06092025093602_WEB.xml","06-Sep-2025","-"
"Easy Trip Planners Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/EASEMYTRIP_06092025203707_BRSREMT.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524522_06092025083723_WEB.xml","06-Sep-2025","-"
"Shalby Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/SHALBYLTD_06092025202236_49BRSRReport.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524517_06092025082300_WEB.xml","06-Sep-2025","-"
"Premier Explosives Limited",2024,2025,"https://nsearchives.nseindia.com/corporate/PREMEXPLN_06092025194748_BSENSEBRSRReportFY202425.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524497_06092025074908_WEB.xml","06-Sep-2025","-"
"VERANDA LEARNING SOLUTIONS LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/Verandaipo_06092025194156_BRSRINTIMATION06092025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524492_06092025074246_WEB.xml","06-Sep-2025","-"
